Model,MAE,MSE,R2
Linear,0.2895680712221439,0.12852025909661144,0.20573171952217106
L1,0.31743995439224193,0.15694943206112652,0.03003653741895096
L2,0.28965931150042157,0.12858626994590475,0.20532376575574063
Dtree,0.13640532544378697,0.04199139053254437,0.7404889331254361
Random,0.11121449704142014,0.025927711745562132,0.8397641027988294
KNN,0.20964082840236686,0.07920868520710059,0.5104822645038365
svr,0.2560214223789938,0.11084551102594387,0.31496346132417685
lgbm,0.13508414396982216,0.03273960899178409,0.7976658845834335
xgboost,0.11955509283486201,0.026850396945818915,0.8340618143613356
